table_name,columns
brands,"id uuid NOT NULL, name text NOT NULL, slug text NOT NULL, is_active bool NOT NULL, seo_title text, seo_description text, canonical_url text, noindex bool NOT NULL, created_at timestamptz NOT NULL, updated_at timestamptz NOT NULL"
catalog_product_categories,"product_id uuid NOT NULL, category_id uuid NOT NULL, is_primary bool NOT NULL"
catalog_product_images,"id uuid NOT NULL, product_id uuid NOT NULL, media_id uuid NOT NULL, alt_text text, sort_order int4 NOT NULL, is_primary bool NOT NULL, created_at timestamptz NOT NULL"
catalog_product_variants,"id uuid NOT NULL, product_id uuid NOT NULL, variant_name text NOT NULL, variant_sku text, attributes jsonb NOT NULL, is_active bool NOT NULL, sort_order int4 NOT NULL, created_at timestamptz NOT NULL, updated_at timestamptz NOT NULL"
catalog_products,"id uuid NOT NULL, brand_id uuid, primary_category_id uuid, name text NOT NULL, slug text NOT NULL, short_description text, description text, sku text, barcode text, manufacturer_code text, seo_title text, seo_description text, canonical_url text, noindex bool NOT NULL, is_active bool NOT NULL, created_at timestamptz NOT NULL, updated_at timestamptz NOT NULL"
categories,"id uuid NOT NULL, parent_id uuid, name text NOT NULL, slug text NOT NULL, seo_title text, seo_description text, canonical_url text, noindex bool NOT NULL, description text, depth int4 NOT NULL, path text NOT NULL, sort_order int4 NOT NULL, is_active bool NOT NULL, created_at timestamptz NOT NULL, updated_at timestamptz NOT NULL"
category_translations,"category_id uuid NOT NULL, locale text NOT NULL, name text NOT NULL, slug text NOT NULL, description text, seo_title text, seo_description text"
clinic_offer_prices,"id uuid NOT NULL, clinic_id uuid NOT NULL, offer_id uuid NOT NULL, price numeric NOT NULL, currency text NOT NULL, starts_at timestamptz, ends_at timestamptz, is_active bool NOT NULL, created_at timestamptz NOT NULL"
media_assets,"id uuid NOT NULL, owner_profile_id uuid, storage_provider text NOT NULL, bucket text, object_path text, public_url text, mime_type text, width int4, height int4, bytes int8, created_at timestamptz NOT NULL"
offers,"id uuid NOT NULL, supplier_id uuid NOT NULL, product_id uuid NOT NULL, variant_id uuid, supplier_sku text, price numeric NOT NULL, currency text NOT NULL, vat_rate numeric NOT NULL, stock_quantity int4 NOT NULL, lead_time_days int4 NOT NULL, min_order_quantity int4 NOT NULL, is_active bool NOT NULL, created_at timestamptz NOT NULL, updated_at timestamptz NOT NULL"
profiles,"id uuid NOT NULL, role user_role NOT NULL, company_name text, tax_number text, phone text, is_active bool NOT NULL, created_at timestamptz NOT NULL, updated_at timestamptz NOT NULL"
seo_redirects,"id uuid NOT NULL, type redirect_type NOT NULL, from_path text NOT NULL, to_path text NOT NULL, http_status int4 NOT NULL, is_active bool NOT NULL, created_at timestamptz NOT NULL"